district,title,community,floor,year,bedroom,living_room,area,price,unit_price
雨花,公务员小区，中间楼层，人车分流环境好,丰升德润,低楼层,2014,3,2,123.38,145,11753
雨花,旭辉品质楼盘，精装修3室，户型好，满五唯一,旭辉香樟公馆,中楼层,2016,3,2,96.61,114.8,11883
雨花,全新精装 直接入住 满五唯一 随时交易,园康星都荟,中楼层,2014,4,2,107.57,139,12922
雨花,南北通透三房，好楼层，小区中间位置，视野宽阔,绿地新都会,低楼层,,3,2,103.99,91.5,8799
雨花,黄土岭1号4号线 次新小区 建发品质 毛坯 中间楼层,建发中央公园,中楼层,2016,3,2,98.49,164.5,16703
雨花,金色LOFT 2室1厅 南,金色LOFT,高楼层,2013,2,1,47.31,43,9089
雨花,装修不错，次新盘，双地铁口，万科物业有环境煤气管道,欧亚达国际广场,高楼层,,2,2,60.47,68,11246
雨花,带大露台，户型周正，价格很有优势，出价就谈,五江天街,低楼层,2014,4,1,119.81,120,10016
雨花,东塘瑞府首付2成南向采光好精装带地暖天然气,东塘瑞府,中楼层,2011,1,0,45.23,40,8844
雨花,：首付少 在长沙安个家 楼层好 视野开阔,融科东南海,中楼层,2015,1,1,30.71,23,7490
雨花,武广双地铁口环境优美中间楼栋实木家具大金空调,恒大绿洲,低楼层,,3,2,127.18,146,11480
雨花,中间楼层，视野好，无遮挡，适合单身情侣,上河国际花园C区,中楼层,2005,1,1,42.76,47,10992
雨花,东塘三号线瑞府精装带地暖不要资格,东塘瑞府,低楼层,2011,1,0,40.17,35,8713
雨花,砂子塘社区 2室1厅 南 北,砂子塘社区,高楼层,,2,1,64.0,75,11719
雨花,汽车南站 经典三房 天虹 7号线 满五唯一,鄱阳小区,中楼层,,3,2,92.11,60,6514
雨花,2020年小区南北朝向周正四房业主诚心卖房随时看房,长房东旭国际,高楼层,,4,2,143.27,180,12564
雨花,区政府对 面，带暖气的房子，下楼就是地铁口,万科金域华府,高楼层,2013,3,2,124.14,180,14500
雨花,高铁南湖景大平层私梯入户明昇壹城恒大绿洲国际御玺,恒大绿洲,中楼层,2014,4,2,261.8,350,13369
雨花,喜盈门地铁口次新小区业主诚心出售 位置安静 看房随时,鑫苑木莲世家,中楼层,2018,4,2,139.36,180,12917
雨花,德思勤商圈 业主自住精装三房 满五唯一 拎包入住,岳泰理想城,低楼层,2013,3,2,91.03,89,9777
雨花,德思勤繁华商圈，周正两房，朝南户型，诚心出售,岳泰理想城,中楼层,2013,2,2,92.72,87.8,9470
雨花,楼层好，总价低，视野开阔，房东诚心卖,五矿万境水岸二期,低楼层,2015,1,1,43.03,54,12550
雨花,雨花亭 云鼎公馆 正地铁口 砂子塘 住宅性质 诚心卖,云鼎公馆,低楼层,2012,1,1,39.24,30.5,7773
雨花,长房半岛蓝湾二期 3室2厅 南 北,长房半岛蓝湾二期,中楼层,2019,3,2,111.4,128.8,11562
雨花,长沙广电，泰禹，板塘冲，圭塘河公园,美洲故事,中楼层,2015,1,1,49.06,46.55,9489
雨花,地铁树木岭 新城新世界 南北通透三房 不临街 采光充足,新城新世界三期,中楼层,2013,3,2,91.01,110,12087
雨花,近地铁 次新小区，三房，业主诚心卖。,五江天街南区,中楼层,2018,2,1,79.18,94,11872
雨花,金凤滩家园 4室2厅 南 北,金凤滩家园,低楼层,2007,4,2,176.23,172,9760
雨花,三江花中城 3室2厅 南 北,三江花中城,中楼层,2008,3,2,115.06,138,11994
雨花,业主置换大别墅 特此出售发财屋 中间楼层 好装修,佳兆业水岸新都东区,中楼层,2012,3,2,88.67,65,7331
雨花,35万装修，楼层好，户型好，买3房这套要看,优山美地,高楼层,2013,3,2,112.56,129.8,11532
雨花,苏式园林风 周正3房 前后双阳台 满五唯一省个税 钥匙,西子花苑,高楼层,2008,3,2,137.06,148,10799
雨花,大两房两厅 户型通透 采光视野全明 单位房分摊小,狮子山一片小区,高楼层,2004,2,2,76.55,54,7055
雨花,禧都会经典小三房，高楼层，采光好，视野好！,茂华禧都会,高楼层,2014,3,2,105.13,127.5,12128
雨花,东澜湾114的大三房 一线河景房 视野很好 拎包装修,江河东澜湾,中楼层,2015,3,1,114.38,145,12678
雨花,此房地铁口近生活氛围好楼层好视野采光都不错,华雅花园,低楼层,2008,4,2,159.54,167.8,10518
雨花,五江天街 吃喝玩乐 网红打卡地 楼下即是地铁,五江天街,中楼层,,1,1,33.73,26,7709
雨花,省植物园湘府站轻轨5号线板塘冲地铁站四房,水岸天际,低楼层,2011,4,2,127.68,129,10104
雨花,树木岭 双铁口房子 精装两房 满五年唯一,新城新世界二期,高楼层,2013,2,1,90.76,120,13222
雨花,新星小区中间楼层，后门直接出去到圭塘河海绵公园,新星小区,中楼层,2002,3,2,99.43,86,8650
雨花,A新上房源！首付24万，电梯边户三房，雅实陪读购物方,东方新世界,高楼层,2005,3,2,122.62,116.5,9501
雨花,景观视野好精装修三房业主诚心卖看房方便,华银园,低楼层,2006,3,2,128.72,110,8546
雨花,业主自住精装修，次新小区，中间楼层拎包入住,华雅林语苑,中楼层,2013,2,1,90.27,125,13848
雨花,双地铁+砂子塘+通透好户型+全新精装修,新城新世界四期柏樾,高楼层,,2,2,78.75,95,12064
雨花,雨花亭商圈，24小时门禁安全放心,融科三万英尺,中楼层,2006,1,1,41.99,31,7383
雨花,泰禹云开壹品4-2-1-2 113.98m² 精装修,泰禹云开壹品,低楼层,,4,2,113.85,163,14318
雨花,精装四房 地铁口 小区绿化好 离植物园800M左右,湘府十城,中楼层,2014,4,2,112.18,125.5,11188
雨花,房子户型方正，通风好，采光好，中间楼栋中间楼层,阳光城愉景苑,低楼层,,4,2,138.98,142.8,10275
雨花,万科魅力之城 4室1厅 南,万科魅力之城,中楼层,,4,1,126.0,198,15715
雨花,五江天街，两房业主诚心出售，户型周正,五江天街,中楼层,,2,2,83.39,79,9474
雨花,小两房 自住精装 南北向 次新小区,芒果雅苑,低楼层,2014,2,2,71.69,73.8,10295
雨花,2018年次新小区 锦湘国际四期 全新毛坯通透三房,锦湘国际星城四期,低楼层,2018,3,1,124.25,155,12475
雨花,新里程潇湘名城 3室1厅 南,新里程潇湘名城,高楼层,2016,3,1,100.26,126,12568
雨花,楼层居中 自住精装 院子里面 看房方便,曾家湾13号生活区,中楼层,,2,1,73.03,56,7669
雨花,拎包入住 户型周正 采光楼层贼好 7号线400米,湘樟家园,高楼层,2008,3,1,96.91,95.8,9886
雨花,墅区高层，直观洋房别墅，视野采光一级棒,万科金域华府,高楼层,,4,2,126.6,155,12244
雨花,雨花区政府政府 正地铁口 精装大三房 位置好 楼层好,合能枫丹丽舍,低楼层,,3,2,103.17,115,11147
雨花,居家小三房 满五唯一 沙湾公园地铁口 山姆会员店旁,半山壹号,高楼层,2017,3,2,92.61,122.8,13260
雨花,湖南省水电设计院宿舍 2室2厅 南,湖南省水电设计院宿舍,高楼层,,2,2,74.59,135,18099
雨花,衡器宿舍小区 2室1厅 南,衡器宿舍小区,中楼层,,2,1,58.8,46,7824
雨花,三开间朝南，纯板楼精装4房，25年可过户，地暖加空调,中天星耀城,低楼层,,4,2,141.89,258,18184
