码,观影日期,简中常见片名,原名,产地,首映年,我的评分,类型,主要艺术家1,主要艺术家2,主要艺术家3,主要艺术家4
1,2021/11/13,银翼杀手2049,Blade Runner 2049,美国,2017,3,彩,丹尼斯·维伦纽瓦 ,瑞恩·高斯林,安娜·德·阿玛斯,菲利普·K·迪克
2,2021/11/14,楚门的世界,The Truman Show,美国,1998,6,彩,彼得·威尔,金·凯瑞,,
3,2021/11/20,大话西游 系列*2,西遊記大結局之仙履奇緣,香港,1995,6,彩,刘镇伟,周星驰,朱茵,
4,2021/11/21,怦然心动,Flipped,美国,2010,5,彩,,,,
5,2021/11/27,天堂电影院,Nuovo Cinema Paradiso,意大利,1988,5,彩,朱塞佩·托纳多雷,,,
6,2021/12/5,我不是药神,我不是药神,中国,2018,4,彩,,徐峥,,
7,2021/12/9,逃学威龙,逃學威龍,香港,1991,0,彩,,周星驰,张敏,
8,2021/12/11,三傻大闹宝莱坞,3 Idiots,印度,2009,5,彩,,阿米尔·汗,,
9,2021/12/12,心灵捕手,Good Will Hunting,美国,1997,4,彩,,罗宾·威廉姆斯,,
10,2022/1/8,杀死一只知更鸟,To Kill a Mockingbird,美国,1962,1,黑白有声,,格利高里·派克,,哈珀·李
11,2022/1/31,回魂夜,回魂夜,香港,1995,1,彩,刘镇伟,周星驰,莫文蔚,
12,2022/2/3,动物农场,Animal Farm,英国,1954,5,动画,,,,乔治·奥威尔
13,2022/2/5,飞越疯人院,One Flew Over the Cuckoo's Nest,美国,1975,7,彩,,杰克·尼科尔森,,坎·凯西
14,2022/2/12,绿野仙踪,The Wizard of Oz,美国,1939,4,彩,维克多·弗莱明,,朱迪·加兰,弗兰克·鲍姆
15,2022/2/19,看上去很美,看上去很美,中国,2006,1,彩,,,,王朔
16,2022/3/18,鼠胆龙威,鼠膽龍威,香港,1995,0,彩,王晶,李连杰,邱淑贞,
17,2022/3/26,活着,活着,中国,1994,5,彩,张艺谋,葛优,巩俐,余华
18,2022/4/16,城市之光,City Lights,美国,1931,7,默剧,查理·卓别林,查理·卓别林,,
19,2022/4/23,月球旅行记,Le voyage dans la lune,法国,1902,3,默剧,乔治·梅里爱,,,
20,2022/4/23,安全至下,Safety Last!,美国,1923,5,默剧,,哈罗德·劳埃德,,
21,2022/4/23,气球,The Balloonatic,美国,1923,0,默剧,,巴斯特·基顿,,
22,2022/4/30,淘金记,The Gold Rush,美国,1925,5,默剧,查理·卓别林,查理·卓别林,,
23,2022/5/1,寻子遇仙记,The Kid,美国,1921,5,默剧,查理·卓别林,查理·卓别林,,
24,2022/5/2,大独裁者,The Great Dictator,美国,1940,6,黑白有声,查理·卓别林,查理·卓别林,,
25,2022/5/3,马戏团,The Circus,美国,1928,5,默剧,查理·卓别林,查理·卓别林,,
