index,pe_ratio,pb_ratio,market_cap,return_on_asset_net_profit,du_return_on_equity,ev,earnings_per_share,revenue,total_expense,date,return
0,000001.XSHE,5.9572,1.1818,85252550922.0,0.8008,14.9403,1211444855670.0,2.01,20701401000.0,10882540000.0,2012-01-31,0.027657228229937388
1,000002.XSHE,7.0289,1.588,84113358168.0,1.6463,7.8656,300252061695.0,0.326,29308369223.2,23783476901.2,2012-01-31,0.08235182370820669
2,000008.XSHE,-262.7461,7.0003,517045520.0,-0.5678,-0.5943,770517752.56,-0.006,11679829.03,12030080.04,2012-01-31,0.09978900335112327
3,000060.XSHE,16.476,3.7146,19680455995.0,5.6036,14.617,28009159184.6,0.35,9189386877.65,7935542726.05,2012-01-31,0.12159482758620697
4,000069.XSHE,12.5878,2.5616,41727214853.0,2.8729,10.9097,81247380359.0,0.271,8951453490.28,7091397989.13,2012-01-31,-0.0026808154146886697
5,000100.XSHE,10.796,1.5219999999999998,17206724233.0,2.245,7.7394,66034033386.1,0.0974,43883757748.0,43092263405.0,2012-01-31,0.13795588072275808
6,000402.XSHE,8.1032,1.0078,18253291248.0,3.2233,10.3965,56511787330.1,0.6,7303544153.27,5440677926.67,2012-01-31,0.08457869004968227
7,000413.XSHE,192.5234,18.3692,4270450000.0,-0.6423,-1.0375,4363236328.83,-0.0059,62630800.67,64784767.7,2012-01-31,0.11926833305744075
8,000415.XSHE,18.0444,1.2301,8699264600.0,1.8112,3.7845,21846364582.5,0.3197,1466188261.63,1036862316.81,2012-01-31,0.188558875748548
9,000423.XSHE,23.3689,7.7135,26409389664.0,16.1098,20.7633,27897612682.3,0.9372,1862915702.43,1157644109.36,2012-01-31,0.08766839826138167
10,000425.XSHE,8.6344,2.1796,33004130464.0,9.9592,21.1151,53846101659.4,1.37,25233044684.7,21955101570.5,2012-01-31,0.0024943086212016125
11,000503.XSHE,226.9945,4.3887,5410909668.0,0.1796,0.3275,6249917784.47,0.0045,99694183.97,135382267.29,2012-01-31,0.16777408637873767
12,000538.XSHE,22.6896,6.1087,33935745494.0,10.2038,17.8649,43071657562.5,1.24,7741652400.02,6769161248.85,2012-01-31,0.0654679840686276
13,000540.XSHE,17.6816,4.0655,8759864200.0,2.3934,17.664,22467665936.4,0.2538,2004355082.02,1749636830.11,2012-01-31,0.19704350036003213
14,000559.XSHE,18.3311,2.3941,9256861365.0,4.7469,9.2005,14628454817.0,0.217,6200943486.15,5822509580.28,2012-01-31,0.13942307692307696
15,000568.XSHE,14.3531,7.2173,51740226954.0,24.1712,34.1465,56573570954.2,1.44,5628271589.15,2856713520.1,2012-01-31,0.0964713454704008
16,000623.XSHE,5.6704,1.7148,15460024303.0,20.7774,23.1428,18804075329.3,2.7168,809481664.08,690911564.42,2012-01-31,0.11214716945348802
17,000625.XSHE,-203.3888,1.3678,20159792217.0,2.7517,7.0257,37217163392.5,0.19,19606549988.7,20002232604.2,2012-01-31,0.1367074829931972
18,000627.XSHE,-16.8256,2.8326,3898338814.0,-2.728,-3.1988,5262950195.63,-0.036000000000000004,797135024.42,832484948.18,2012-01-31,0.1562478197167375
19,000630.XSHE,14.5249,2.8489999999999998,28446350207.0,3.2688,12.367,49261848233.6,0.74,52032837531.5,50898693656.5,2012-01-31,0.09244543062077502
20,000651.XSHE,8.8321,3.1092,54743150990.0,4.9914,25.6552,125069492621.0,1.3388,64074612708.6,61158359767.8,2012-01-31,0.09449989694667722
21,000671.XSHE,54.5916,1.7354,3484036043.0,0.8814,5.9695,11761758216.0,0.19,1828169582.43,1706703767.9,2012-01-31,0.17388986213725338
22,000686.XSHE,-10.5648,2.865,8771366787.0,-0.1107,-0.5469,20765182199.3,-0.03,677592524.5,717833927.89,2012-01-31,0.12170532632190215
23,000709.XSHE,30.7015,0.7431,31749624178.0,0.8678,2.8371,99804099745.6,0.15,107770205166.0,106446201521.0,2012-01-31,0.08023627861186305
